Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-06-17 18:10:14,"Legs",2h 18m,"Bulgarian Split Squat",1,12.5,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Bulgarian Split Squat",2,12.5,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Bulgarian Split Squat",3,12.5,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Back Extension",1,25.0,10.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Back Extension",2,25.0,10.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Lying Leg Curl (Machine)",1,70.0,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Lying Leg Curl (Machine)",2,70.0,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Lying Leg Curl (Machine)",3,70.0,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Leg Extension (Machine)",1,70.0,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Leg Extension (Machine)",2,70.0,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Leg Extension (Machine)",3,70.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bench Press (Barbell)",1,160.0,5.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bench Press (Barbell)",2,160.0,5.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bench Press (Barbell)",3,160.0,5.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bent Over Row (Barbell)",1,85.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bent Over Row (Barbell)",2,85.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bent Over Row (Barbell)",3,85.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Dip",1,5.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Dip",2,5.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Dip",3,5.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Pull Up (Assisted)",1,100.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Pull Up (Assisted)",2,100.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Pull Up (Assisted)",3,120.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Incline Chest Press (Machine)",1,35.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Incline Chest Press (Machine)",2,35.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Incline Chest Press (Machine)",3,25.0,4.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Incline Chest Press (Machine)",4,25.0,6.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Press (Machine)",1,50.0,15.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Press (Machine)",2,50.0,15.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Chest Press (Machine)",3,50.0,15.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Iso-Lateral Row (Machine)",1,100.0,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Iso-Lateral Row (Machine)",2,100.0,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Iso-Lateral Row (Machine)",3,100.0,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Extension (Barbell)",1,20.0,12.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Extension (Barbell)",2,20.0,12.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Extension (Barbell)",3,20.0,12.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Hammer Curl (Dumbbell)",1,17.5,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Hammer Curl (Dumbbell)",2,17.5,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Hammer Curl (Dumbbell)",3,17.5,10.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bicep Curl (Dumbbell)",1,15.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bicep Curl (Dumbbell)",2,15.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Bicep Curl (Dumbbell)",3,15.0,8.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Pushdown (Cable - Straight Bar)",1,27.5,12.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Pushdown (Cable - Straight Bar)",2,27.5,12.0,0,0.0,
2023-06-18 17:32:28,"Volume Upper Workout",1h 50m,"Triceps Pushdown (Cable - Straight Bar)",3,27.5,12.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bench Press (Barbell)",1,165.0,5.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bench Press (Barbell)",2,165.0,5.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bench Press (Barbell)",3,165.0,5.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Chest Dip",1,10.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Chest Dip",2,10.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Chest Dip",3,10.0,6.0,0,0.0,
2023-06-22 18:34:59,"Heavy Upper Workout (quick)",55m,"Bent Over Row (Barbell)",1,100.0,5.0,0,0.0,
